"Ticker","Maturity","Type","Long Strike","Long Bid","Short Strike","Short Ask","Difference","Profit","Cost"
"GIS","04/17/20","Put","47.5","0.2","45.0","0.05","250.0","15.00","15.666666666666666666666666667"
"GIS","04/17/20","Put","50.0","0.51","47.5","0.17","250.0","34.00","6.3529411764705882352941176471"
"GIS","04/17/20","Put","52.5","1.32","50.0","0.48","250.0","84.00","1.9761904761904761904761904762"
"GIS","04/17/20","Put","55.0","2.9","52.5","1.22","250.0","168.00","0.4880952380952380952380952381"
"GIS","04/17/20","Put","57.5","5.65","55.0","2.74","250.0","291.00","-0.1408934707903780068728522337"
"GIS","04/17/20","Put","60.0","7.95","57.5","5.35","250.0","260.00","-0.0384615384615384615384615385"
"GIS","04/17/20","Put","62.5","10.4","60.0","7.7","250.0","270.0","-0.0740740740740740740740740741"
"GIS","04/17/20","Put","65.0","12.9","62.5","10.15","250.0","275.00","-0.0909090909090909090909090909"
"GIS","04/17/20","Put","70.0","16.85","65.0","12.6","500.0","425.00","0.1764705882352941176470588235"

"GIS","01/15/21","Call","20.0","33.75","22.5","30.9","250.0","285.00","-0.1228070175438596491228070175"
"GIS","01/15/21","Call","22.5","31.45","25.0","27.7","250.0","375.00","-0.3333333333333333333333333333"
"GIS","01/15/21","Call","25.0","28.2","27.5","25.8","250.0","240.0","0.0416666666666666666666666667"
"GIS","01/15/21","Call","27.5","27.1","30.0","23.25","250.0","385.00","-0.3506493506493506493506493506"
"GIS","01/15/21","Call","30.0","23.55","32.5","20.0","250.0","355.00","-0.295774647887323943661971831"
"GIS","01/15/21","Call","32.5","20.45","35.0","19.4","250.0","105.00","1.380952380952380952380952381"
"GIS","01/15/21","Call","35.0","20.05","37.5","15.25","250.0","480.00","-0.4791666666666666666666666667"
"GIS","01/15/21","Call","37.5","15.7","40.0","12.95","250.0","275.00","-0.0909090909090909090909090909"
"GIS","01/15/21","Call","40.0","13.4","42.5","10.9","250.0","250.0","0"
"GIS","01/15/21","Call","42.5","11.25","45.0","9.05","250.0","220.00","0.1363636363636363636363636364"
"GIS","01/15/21","Call","45.0","9.3","47.5","7.25","250.0","205.00","0.219512195121951219512195122"
"GIS","01/15/21","Call","47.5","7.6","50.0","5.65","250.0","195.00","0.2820512820512820512820512821"
"GIS","01/15/21","Call","50.0","6.1","52.5","4.55","250.0","155.00","0.6129032258064516129032258065"
"GIS","01/15/21","Call","52.5","4.75","55.0","3.4","250.0","135.00","0.8518518518518518518518518519"
"GIS","01/15/21","Call","55.0","3.65","57.5","2.46","250.0","119.00","1.100840336134453781512605042"
"GIS","01/15/21","Call","57.5","2.78","60.0","1.63","250.0","115.00","1.1739130434782608695652173913"
"GIS","01/15/21","Call","60.0","2.09","62.5","1.01","250.0","108.00","1.3148148148148148148148148148"
"GIS","01/15/21","Call","62.5","1.39","65.0","0.79","250.0","60.00","3.1666666666666666666666666667"
"GIS","01/15/21","Call","65.0","0.96","70.0","0.32","500.0","64.00","6.8125"

"GIS","01/15/21","Put","22.5","0.03","20.0","0.0","250.0","3.00","82.33333333333333333333333333"
"GIS","01/15/21","Put","25.0","0.03","22.5","0.0","250.0","3.00","82.33333333333333333333333333"
"GIS","01/15/21","Put","27.5","0.08","25.0","0.0","250.0","8.00","30.25"
"GIS","01/15/21","Put","30.0","0.08","27.5","0.0","250.0","8.00","30.25"
"GIS","01/15/21","Put","32.5","0.0","30.0","0.0","250.0","0.0","0"
"GIS","01/15/21","Put","35.0","0.0","32.5","0.0","250.0","0.0","0"
"GIS","01/15/21","Put","37.5","0.12","35.0","0.0","250.0","12.00","19.833333333333333333333333333"
"GIS","01/15/21","Put","40.0","0.0","37.5","0.0","250.0","0.0","0"
"GIS","01/15/21","Put","42.5","0.13","40.0","0.0","250.0","13.00","18.230769230769230769230769231"
"GIS","01/15/21","Put","45.0","0.11","42.5","0.0","250.0","11.00","21.727272727272727272727272727"
"GIS","01/15/21","Put","47.5","0.2","45.0","0.05","250.0","15.00","15.666666666666666666666666667"
"GIS","01/15/21","Put","50.0","0.51","47.5","0.17","250.0","34.00","6.3529411764705882352941176471"
"GIS","01/15/21","Put","52.5","1.32","50.0","0.48","250.0","84.00","1.9761904761904761904761904762"
"GIS","01/15/21","Put","55.0","2.9","52.5","1.22","250.0","168.00","0.4880952380952380952380952381"
"GIS","01/15/21","Put","57.5","5.65","55.0","2.74","250.0","291.00","-0.1408934707903780068728522337"
"GIS","01/15/21","Put","60.0","7.95","57.5","5.35","250.0","260.00","-0.0384615384615384615384615385"
"GIS","01/15/21","Put","62.5","10.4","60.0","7.7","250.0","270.0","-0.0740740740740740740740740741"
"GIS","01/15/21","Put","65.0","12.9","62.5","10.15","250.0","275.00","-0.0909090909090909090909090909"
"GIS","01/15/21","Put","70.0","16.85","65.0","12.6","500.0","425.00","0.1764705882352941176470588235"

"GIS","01/21/22","Call","40.0","13.9","45.0","9.55","500.0","435.00","0.1494252873563218390804597701"
"GIS","01/21/22","Call","45.0","10.55","47.5","8.0","250.0","255.00","-0.0196078431372549019607843137"
"GIS","01/21/22","Call","47.5","9.1","50.0","6.3","250.0","280.0","-0.1071428571428571428571428571"
"GIS","01/21/22","Call","50.0","7.8","52.5","5.1","250.0","270.0","-0.0740740740740740740740740741"
"GIS","01/21/22","Call","52.5","6.25","55.0","4.0","250.0","225.00","0.1111111111111111111111111111"
